               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1115,            0.015198,             0.07689,           0.0035897,             0.19444,           0.0025072,           0.0004599,            0.072139,            0.010426,            0.050349,              0.0982,              0.0002,              0.0002
                   1,             0.10655,             0.01759,            0.074965,           0.0039139,             0.22222,           0.0029059,          0.00085827,            0.067665,            0.011399,            0.049571,            0.095494,          0.00049381,          0.00049381
                   2,             0.09433,            0.019936,             0.07365,           0.0070093,             0.41667,           0.0068033,            0.001644,             0.06163,            0.012604,            0.048469,             0.09278,           0.0007802,           0.0007802
                   3,            0.095387,            0.021256,             0.07086,           0.0077826,             0.46717,           0.0073154,           0.0018052,            0.056017,            0.013631,            0.047172,            0.090059,           0.0010592,           0.0010592
                   4,            0.082146,            0.025829,            0.068399,           0.0083239,             0.51768,           0.0079887,           0.0023135,            0.051313,            0.014431,            0.045829,            0.087331,           0.0013307,           0.0013307
                   5,            0.079499,            0.022733,            0.065103,            0.010424,             0.63131,            0.012182,           0.0026529,            0.048856,            0.014795,            0.044649,            0.084595,           0.0015948,           0.0015948
                   6,             0.07528,            0.024649,            0.059407,            0.013529,             0.83081,            0.024322,           0.0047857,             0.04657,            0.015028,            0.043145,            0.081852,           0.0018515,           0.0018515
                   7,            0.072343,            0.026348,            0.057737,              0.0145,             0.95455,            0.029861,           0.0084612,            0.044931,            0.015104,            0.041867,            0.079101,           0.0021008,           0.0021008
                   8,            0.071865,            0.024399,            0.057355,            0.013644,                   1,            0.059615,            0.017803,            0.044275,            0.014604,            0.039111,            0.076343,           0.0023426,           0.0023426
                   9,             0.06577,            0.023688,            0.051894,            0.013002,                   1,             0.09998,            0.037929,            0.041512,            0.014721,             0.03725,            0.073577,            0.002577,            0.002577
                  10,            0.067759,            0.024563,            0.051016,            0.012828,                   1,             0.27169,            0.080325,            0.037623,            0.014595,            0.033326,            0.070804,            0.002804,            0.002804
                  11,            0.062062,            0.027973,            0.043604,             0.16615,                   1,               0.422,             0.13525,            0.038375,            0.013548,              0.0307,            0.068024,           0.0030236,           0.0030236
                  12,            0.067747,            0.025483,            0.042947,             0.21433,             0.94949,             0.30471,            0.094541,            0.038973,            0.012475,            0.028955,            0.065236,           0.0032357,           0.0032357
                  13,            0.063258,            0.024336,            0.042647,            0.086391,              0.7803,            0.089895,            0.032384,             0.05073,            0.010458,            0.027448,             0.06244,           0.0034404,           0.0034404
                  14,            0.068096,            0.021182,            0.040322,            0.086614,             0.78535,             0.09383,            0.037994,             0.04335,            0.010983,            0.026329,            0.059638,           0.0036377,           0.0036377
                  15,            0.061485,            0.017728,            0.038774,             0.17693,             0.68888,             0.21927,             0.06602,            0.041289,             0.01178,            0.026264,            0.056828,           0.0038276,           0.0038276
                  16,            0.064241,             0.01904,            0.037033,             0.19696,             0.84134,             0.31436,            0.081169,            0.044708,            0.011391,             0.02652,             0.05401,             0.00401,             0.00401
                  17,            0.059558,            0.017795,            0.035414,             0.10532,             0.53535,             0.13618,            0.031287,            0.051122,            0.011764,            0.026887,            0.051185,            0.004185,            0.004185
                  18,            0.063044,            0.018717,            0.034659,             0.31274,             0.72692,              0.4155,             0.12577,            0.042941,            0.011339,            0.026274,            0.048353,           0.0043526,           0.0043526
                  19,            0.059593,            0.018654,            0.035504,             0.32828,             0.69089,             0.39492,             0.13977,            0.048215,            0.012582,            0.025817,            0.045513,           0.0045128,           0.0045128
                  20,            0.063628,            0.016265,            0.034709,             0.38472,             0.75505,              0.5172,             0.17706,            0.044816,            0.011096,            0.025029,            0.042666,           0.0046655,           0.0046655
                  21,            0.054838,            0.017667,            0.033223,              0.3843,             0.66517,             0.48338,             0.24913,             0.04721,            0.012005,             0.02427,            0.039811,           0.0048108,           0.0048108
                  22,            0.067254,            0.018286,            0.033987,              0.4473,             0.80556,             0.62114,             0.23415,             0.04094,            0.011021,            0.023631,            0.036949,           0.0049487,           0.0049487
                  23,            0.057408,            0.017959,            0.034472,             0.23811,             0.64077,             0.35303,            0.067525,            0.046871,            0.010817,            0.023061,            0.034079,           0.0050792,           0.0050792
                  24,            0.058556,            0.018914,            0.032344,             0.33331,             0.63889,             0.47711,             0.12188,            0.043948,            0.010267,            0.022451,            0.031202,           0.0052022,           0.0052022
                  25,             0.05622,            0.016878,            0.032206,             0.31675,             0.61616,             0.51213,             0.31581,            0.043646,           0.0099111,            0.021815,            0.028318,           0.0053178,           0.0053178
                  26,            0.058395,            0.018162,            0.031953,             0.33565,             0.77778,             0.62179,             0.27369,            0.038809,           0.0095664,            0.021683,            0.025426,            0.005426,            0.005426
                  27,            0.059903,            0.018384,            0.032421,             0.17833,             0.34091,             0.34405,              0.1956,            0.043874,           0.0096409,            0.021397,            0.022527,           0.0055268,           0.0055268
