               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1111,            0.015314,             0.07739,            0.002572,             0.13889,           0.0016665,          0.00031372,            0.071912,             0.01044,            0.050336,              0.0982,              0.0002,              0.0002
                   1,             0.10544,            0.017377,            0.074867,           0.0044423,                0.25,            0.003367,          0.00071295,            0.067478,            0.011403,            0.049584,            0.095495,          0.00049505,          0.00049505
                   2,            0.094527,            0.019321,            0.074182,           0.0056764,             0.33333,           0.0050185,           0.0011499,            0.061361,             0.01258,            0.048443,            0.092784,          0.00078416,          0.00078416
                   3,            0.094804,            0.022471,            0.070449,           0.0079803,             0.46212,           0.0070465,             0.00169,            0.055561,            0.013605,            0.047211,            0.090067,           0.0010673,           0.0010673
                   4,            0.081838,            0.024503,            0.068261,           0.0089388,             0.50253,           0.0088218,           0.0019479,            0.051041,            0.014365,            0.045855,            0.087345,           0.0013446,           0.0013446
                   5,            0.077964,            0.024142,            0.064955,            0.012224,             0.72727,            0.012894,           0.0027222,             0.04874,            0.014578,            0.044279,            0.084616,           0.0016158,           0.0016158
                   6,            0.075395,            0.025772,            0.059797,            0.014964,             0.90909,            0.023697,           0.0045576,            0.045935,            0.015051,            0.043158,            0.081881,           0.0018812,           0.0018812
                   7,            0.075014,             0.02571,            0.057746,            0.015168,                   1,             0.03667,           0.0096881,            0.044733,            0.014798,            0.041031,            0.079141,           0.0021406,           0.0021406
                   8,            0.071648,             0.02273,            0.057747,            0.014434,                   1,             0.05355,            0.013803,            0.043921,            0.014651,            0.039552,            0.076394,           0.0023941,           0.0023941
                   9,            0.066526,             0.02499,            0.052885,            0.013029,                   1,             0.10469,            0.034261,            0.041018,            0.014498,            0.036322,            0.073642,           0.0026416,           0.0026416
                  10,            0.068383,            0.025478,            0.050167,            0.012676,                   1,            0.092743,            0.035848,             0.03873,            0.014595,            0.033962,            0.070883,           0.0028832,           0.0028832
                  11,            0.060077,            0.027742,            0.043678,            0.042648,             0.11869,             0.11755,            0.034913,             0.04463,            0.012072,            0.029364,            0.068119,           0.0031189,           0.0031189
                  12,            0.064226,            0.023681,            0.040953,             0.26532,                   1,             0.46396,             0.13415,            0.042251,            0.011495,            0.027717,            0.065349,           0.0033486,           0.0033486
                  13,             0.06376,            0.024268,            0.042686,            0.098514,             0.86364,             0.11473,            0.045927,            0.043417,            0.010935,             0.02654,            0.062572,           0.0035723,           0.0035723
                  14,            0.066335,            0.021489,            0.039006,             0.20436,             0.92677,             0.23376,            0.087969,             0.04771,            0.010223,            0.026011,             0.05979,           0.0037902,           0.0037902
                  15,            0.059615,             0.01817,            0.038361,             0.29562,             0.35885,             0.31394,            0.084789,            0.042079,            0.011136,            0.025599,            0.057002,           0.0040021,           0.0040021
                  16,            0.061965,            0.020383,            0.036661,             0.18431,             0.92172,             0.19924,            0.083538,            0.041373,            0.011169,            0.025781,            0.054208,            0.004208,            0.004208
                  17,            0.062866,            0.018327,            0.035868,             0.14539,             0.83586,             0.17104,            0.049157,            0.046828,             0.01062,            0.025911,            0.051408,            0.004408,            0.004408
                  18,            0.058642,            0.020761,            0.035655,             0.28414,             0.92172,             0.49194,             0.23677,            0.042277,            0.010725,            0.026225,            0.048602,           0.0046021,           0.0046021
                  19,            0.060885,            0.018307,            0.035952,             0.31491,             0.84343,             0.40656,             0.10743,            0.040937,            0.011669,              0.0257,             0.04579,           0.0047902,           0.0047902
                  20,            0.061886,            0.016789,            0.035233,             0.29517,             0.89394,             0.39415,             0.22381,            0.042387,            0.011402,             0.02581,            0.042972,           0.0049724,           0.0049724
                  21,            0.054371,            0.017786,            0.033522,              0.3796,             0.84513,             0.51945,             0.27496,            0.036914,             0.01122,            0.025385,            0.040149,           0.0051487,           0.0051487
                  22,            0.057423,            0.019407,            0.034263,             0.35365,             0.75505,              0.5464,             0.26595,            0.043758,            0.011276,             0.02497,            0.037319,            0.005319,            0.005319
                  23,            0.060279,            0.017542,             0.03472,             0.29885,              0.7874,             0.39545,            0.093157,            0.039652,            0.011235,            0.024195,            0.034483,           0.0054833,           0.0054833
                  24,            0.060299,            0.018296,             0.03273,             0.23302,             0.53283,             0.30241,            0.086825,             0.04257,            0.011132,            0.023755,            0.031642,           0.0056418,           0.0056418
